# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:23:54, -1.40, 2.10
EX20, 00:23:54, -1.40, 2.08
EX20, 00:23:54, -1.40, 2.07
EX20, 00:23:54, -1.40, 2.06
EX20, 00:23:55, -1.40, 2.05
EX20, 00:23:55, -1.40, 2.03

EX20, 00:23:55, -1.40, 2.02
EX20, 00:23:55, -1.40, 2.01
EX20, 00:23:55, -1.20, 1.99
EX20, 00:23:55, -1.20, 1.98
EX20, 00:23:55, -1.20, 1.97
EX20, 00:23:55, -1.20, 1.96
EX20, 00:23:56, -1.20, 1.94
EX20, 00:23:56, -1.20, 1.93
EX20, 00:23:56, -1.20, 1.92
EX20, 00:23:56, -1.20, 1.90
EX20, 00:23:56, -0.99, 1.89
EX20, 00:23:56, -0.99, 1.88
EX20, 00:23:56, -0.99, 1.86
EX20, 00:23:56, -0.99, 1.85
EX20, 00:23:57, -0.99, 1.84
EX20, 00:23:57, -0.99, 1.82
EX20, 00:23:57, -0.99, 1.81
EX20, 00:23:57, -0.99, 1.80
EX20, 00:23:57, -0.78, 1.78
EX20, 00:23:57, -0.78, 1.77
EX20, 00:23:57, -0.78, 1.76
EX20, 00:23:57, -0.78, 1.74
EX20, 00:23:58, -0.78, 1.73
EX20, 00:23:58, -0.78, 1.72
EX20, 00:23:58, -0.78, 1.70
EX20, 00:23:58, -0.78, 1.69
EX20, 00:23:58, -0.56, 1.68
EX20, 00:23:58, -0.56, 1.66
EX20, 00:23:58, -0.56, 1.65
EX20, 00:23:59, -0.56, 1.63
EX20, 00:23:59, -0.56, 1.62
EX20, 00:23:59, -0.56, 1.61
EX20, 00:23:59, -0.56, 1.59
EX20, 00:23:59, -0.56, 1.58
EX20, 00:23:59, -0.34, 1.56

EX20, 00:23:59, -0.34, 1.55
EX20, 00:23:59, -0.34, 1.54
EX20, 00:24:00, -0.34, 1.52
EX20, 00:24:00, -0.34, 1.51
EX20, 00:24:00, -0.34, 1.49
EX20, 00:24:00, -0.34, 1.48
EX20, 00:24:00, -0.34, 1.47
EX20, 00:24:00, -0.11, 1.45
EX20, 00:24:00, -0.11, 1.44
EX20, 00:24:00, -0.11, 1.42
EX20, 00:24:01, -0.11, 1.41
EX20, 00:24:01, -0.11, 1.39
EX20, 00:24:01, -0.11, 1.38
EX20, 00:24:01, -0.11, 1.37
EX20, 00:24:01, -0.11, 1.35
EX20, 00:24:01, 0.12, 1.34
EX20, 00:24:01, 0.12, 1.32
EX20, 00:24:01, 0.12, 1.31
EX20, 00:24:02, 0.12, 1.29
EX20, 00:24:02, 0.12, 1.28
EX20, 00:24:02, 0.12, 1.27
EX20, 00:24:02, 0.12, 1.25
EX20, 00:24:02, 0.12, 1.24
EX20, 00:24:02, 0.34, 1.22
EX20, 00:24:02, 0.34, 1.21
EX20, 00:24:02, 0.34, 1.20
EX20, 00:24:03, 0.34, 1.18
EX20, 00:24:03, 0.34, 1.17
EX20, 00:24:03, 0.34, 1.16
EX20, 00:24:03, 0.34, 1.14
EX20, 00:24:03, 0.34, 1.13
EX20, 00:24:03, 0.56, 1.12
EX20, 00:24:03, 0.56, 1.10
EX20, 00:24:03, 0.56, 1.09
EX20, 00:24:04, 0.56, 1.08
EX20, 00:24:04, 0.56, 1.07

EX20, 00:24:04, 0.56, 1.05
EX20, 00:24:04, 0.56, 1.04
EX20, 00:24:04, 0.56, 1.03
EX20, 00:24:04, 0.76, 1.02
EX20, 00:24:04, 0.76, 1.01
EX20, 00:24:04, 0.76, 1.00
EX20, 00:24:05, 0.76, 0.98
EX20, 00:24:05, 0.76, 0.97
EX20, 00:24:05, 0.76, 0.96
EX20, 00:24:05, 0.76, 0.95
EX20, 00:24:05, 0.76, 0.94
EX20, 00:24:05, 0.93, 0.93
EX20, 00:24:05, 0.93, 0.92
EX20, 00:24:06, 0.93, 0.91
EX20, 00:24:06, 0.93, 0.91
EX20, 00:24:06, 0.93, 0.90
EX20, 00:24:06, 0.93, 0.89
EX20, 00:24:06, 0.93, 0.88
EX20, 00:24:06, 0.93, 0.87
EX20, 00:24:06, 1.06, 0.87
EX20, 00:24:06, 1.06, 0.86
EX20, 00:24:07, 1.06, 0.85
EX20, 00:24:07, 1.06, 0.84
EX20, 00:24:07, 1.06, 0.84
EX20, 00:24:07, 1.06, 0.83
EX20, 00:24:07, 1.06, 0.83
EX20, 00:24:07, 1.06, 0.82
EX20, 00:24:07, 1.16, 0.82
EX20, 00:24:07, 1.16, 0.81
EX20, 00:24:08, 1.16, 0.81
EX20, 00:24:08, 1.16, 0.81
EX20, 00:24:08, 1.16, 0.80
EX20, 00:24:08, 1.16, 0.80
EX20, 00:24:08, 1.16, 0.80
EX20, 00:24:08, 1.16, 0.79
EX20, 00:24:08, 1.21, 0.79
EX20, 00:24:08, 1.21, 0.79

EX20, 00:24:09, 1.21, 0.79
EX20, 00:24:09, 1.21, 0.79
EX20, 00:24:09, 1.21, 0.79
EX20, 00:24:09, 1.21, 0.79
EX20, 00:24:09, 1.21, 0.79
EX20, 00:24:09, 1.21, 0.79
EX20, 00:24:09, 1.21, 0.80
EX20, 00:24:09, 1.21, 0.80
EX20, 00:24:10, 1.21, 0.80
EX20, 00:24:10, 1.21, 0.80
EX20, 00:24:10, 1.21, 0.81
EX20, 00:24:10, 1.21, 0.81
EX20, 00:24:10, 1.21, 0.82
EX20, 00:24:10, 1.21, 0.82
EX20, 00:24:10, 1.15, 0.83
EX20, 00:24:10, 1.15, 0.83
EX20, 00:24:11, 1.15, 0.84
EX20, 00:24:11, 1.15, 0.84
EX20, 00:24:11, 1.15, 0.85
EX20, 00:24:11, 1.15, 0.86
EX20, 00:24:11, 1.15, 0.86
EX20, 00:24:11, 1.15, 0.87
EX20, 00:24:11, 1.04, 0.88
EX20, 00:24:11, 1.04, 0.89
EX20, 00:24:12, 1.04, 0.90
